Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
08903,New Brunswick,NJ,40.513854,-74.445098,-5,1,"40.513854, -74.445098"
08072,Quinton,NJ,39.546172,-75.41367,-5,1,"39.546172, -75.41367"
07510,Paterson,NJ,41.011428,-74.304793,-5,1,"41.011428, -74.304793"
08808,Broadway,NJ,40.737213,-75.046926,-5,1,"40.737213, -75.046926"
07847,Kenvil,NJ,40.88038,-74.62009,-5,1,"40.88038, -74.62009"
08346,Newtonville,NJ,39.562719,-74.85853,-5,1,"39.562719, -74.85853"
07650,Palisades Park,NJ,40.845742,-73.99479,-5,1,"40.845742, -73.99479"
08734,Lanoka Harbor,NJ,39.862864,-74.16624,-5,1,"39.862864, -74.16624"
07109,Belleville,NJ,40.7935,-74.16144,-5,1,"40.7935, -74.16144"
08010,Beverly,NJ,40.058211,-74.91404,-5,1,"40.058211, -74.91404"
08544,Princeton,NJ,40.349206,-74.652811,-5,1,"40.349206, -74.652811"
07605,Leonia,NJ,40.862685,-73.98551,-5,1,"40.862685, -73.98551"
07878,Mount Tabor,NJ,40.872866,-74.47843,-5,1,"40.872866, -74.47843"
07881,Wallpack Center,NJ,41.125646,-74.917711,-5,1,"41.125646, -74.917711"
08885,Stanton,NJ,40.576372,-74.831105,-5,1,"40.576372, -74.831105"
07015,Clifton,NJ,41.011428,-74.304793,-5,1,"41.011428, -74.304793"
08648,Trenton,NJ,40.276782,-74.72951,-5,1,"40.276782, -74.72951"
07420,Haskell,NJ,41.026747,-74.29742,-5,1,"41.026747, -74.29742"
07115,Newark,NJ,40.718772,-74.170091,-5,1,"40.718772, -74.170091"
07498,Mahwah,NJ,40.948054,-74.083231,-5,1,"40.948054, -74.083231"
08052,Maple Shade,NJ,39.952212,-74.99464,-5,1,"39.952212, -74.99464"
08050,Manahawkin,NJ,39.707575,-74.25933,-5,1,"39.707575, -74.25933"
07936,East Hanover,NJ,40.820012,-74.36474,-5,1,"40.820012, -74.36474"
08570,Cranbury,NJ,40.430006,-74.417344,-5,1,"40.430006, -74.417344"
07204,Roselle Park,NJ,40.665552,-74.26768,-5,1,"40.665552, -74.26768"
07919,Hardyston,NJ,41.152239,-74.581948,-5,1,"41.152239, -74.581948"
07875,Stillwater,NJ,41.043858,-74.871981,-5,1,"41.043858, -74.871981"
08647,Trenton,NJ,40.280531,-74.712018,-5,1,"40.280531, -74.712018"
07652,Paramus,NJ,40.947107,-74.07047,-5,1,"40.947107, -74.07047"
07046,Mountain Lakes,NJ,40.892021,-74.44022,-5,1,"40.892021, -74.44022"
07932,Florham Park,NJ,40.77835,-74.39009,-5,1,"40.77835, -74.39009"
07833,Delaware,NJ,40.895451,-75.06752,-5,1,"40.895451, -75.06752"
07035,Lincoln Park,NJ,40.923233,-74.29376,-5,1,"40.923233, -74.29376"
07438,Oak Ridge,NJ,41.029555,-74.5071,-5,1,"41.029555, -74.5071"
08607,Trenton,NJ,40.280531,-74.712018,-5,1,"40.280531, -74.712018"
07710,Adelphia,NJ,40.302718,-74.24928,-5,1,"40.302718, -74.24928"
08014,Bridgeport,NJ,39.803646,-75.34421,-5,1,"39.803646, -75.34421"
08348,Port Elizabeth,NJ,39.314084,-74.97889,-5,1,"39.314084, -74.97889"
07765,Wickatunk,NJ,40.302718,-74.24928,-5,1,"40.302718, -74.24928"
08870,Readington,NJ,40.563654,-74.949409,-5,1,"40.563654, -74.949409"
07826,Branchville,NJ,41.177457,-74.75904,-5,1,"41.177457, -74.75904"
08740,Ocean Gate,NJ,39.925301,-74.13488,-5,1,"39.925301, -74.13488"
08312,Clayton,NJ,39.655964,-75.08736,-5,1,"39.655964, -75.08736"
07064,Port Reading,NJ,40.569504,-74.24774,-5,1,"40.569504, -74.24774"
07201,Elizabeth,NJ,40.669502,-74.19889,-5,1,"40.669502, -74.19889"
07841,Great Meadows-Vienna,NJ,40.863567,-74.869538,-5,1,"40.863567, -74.869538"
07309,Jersey City,NJ,40.73276,-74.075485,-5,1,"40.73276, -74.075485"
07961,Morristown,NJ,40.77975,-74.442797,-5,1,"40.77975, -74.442797"
08887,Three Bridges,NJ,40.525361,-74.79632,-5,1,"40.525361, -74.79632"
08817,Edison,NJ,40.516104,-74.39754,-5,1,"40.516104, -74.39754"
08406,Ventnor City,NJ,39.342299,-74.48192,-5,1,"39.342299, -74.48192"
08835,Manville,NJ,40.538903,-74.59222,-5,1,"40.538903, -74.59222"
08629,Trenton,NJ,40.219358,-74.73334,-5,1,"40.219358, -74.73334"
07032,Kearny,NJ,40.763051,-74.13718,-5,1,"40.763051, -74.13718"
08051,Mantua,NJ,39.785785,-75.17761,-5,1,"39.785785, -75.17761"
07030,Hoboken,NJ,40.744851,-74.03294,-5,1,"40.744851, -74.03294"
07939,Lyons,NJ,40.566553,-74.599801,-5,1,"40.566553, -74.599801"
08075,Riverside,NJ,40.029361,-74.9541,-5,1,"40.029361, -74.9541"
07666,Teaneck,NJ,40.890964,-74.01115,-5,1,"40.890964, -74.01115"
08091,West Berlin,NJ,39.807695,-74.93392,-5,1,"39.807695, -74.93392"
08840,Metuchen,NJ,40.543354,-74.3587,-5,1,"40.543354, -74.3587"
08889,Whitehouse Station,NJ,40.612851,-74.76682,-5,1,"40.612851, -74.76682"
08071,Pitman,NJ,39.730964,-75.13009,-5,1,"39.730964, -75.13009"
08862,Perth Amboy,NJ,40.430006,-74.417344,-5,1,"40.430006, -74.417344"
07735,Keyport,NJ,40.439714,-74.19374,-5,1,"40.439714, -74.19374"
07763,Tennent,NJ,40.302718,-74.24928,-5,1,"40.302718, -74.24928"
08827,Hampton,NJ,40.677404,-74.96875,-5,1,"40.677404, -74.96875"
07974,New Providence,NJ,40.698268,-74.40225,-5,1,"40.698268, -74.40225"
07852,Ledgewood,NJ,40.876349,-74.65769,-5,1,"40.876349, -74.65769"
07403,Bloomingdale,NJ,41.014497,-74.33021,-5,1,"41.014497, -74.33021"
07960,Morristown,NJ,40.79215,-74.48559,-5,1,"40.79215, -74.48559"
08511,Cookstown,NJ,40.050128,-74.55611,-5,1,"40.050128, -74.55611"
08327,Leesburg,NJ,39.254836,-74.97767,-5,1,"39.254836, -74.97767"
07013,Clifton,NJ,40.868699,-74.17102,-5,1,"40.868699, -74.17102"
08218,Goshen,NJ,39.056521,-74.816619,-5,1,"39.056521, -74.816619"
07067,Colonia,NJ,40.591653,-74.31341,-5,1,"40.591653, -74.31341"
08302,Bridgeton,NJ,39.445164,-75.24215,-5,1,"39.445164, -75.24215"
08349,Port Norris,NJ,39.25682,-75.06683,-5,1,"39.25682, -75.06683"
08542,Princeton,NJ,40.354424,-74.65943,-5,1,"40.354424, -74.65943"
08882,South River,NJ,40.445006,-74.38179,-5,1,"40.445006, -74.38179"
08884,Spotswood,NJ,40.39159,-74.39329,-5,1,"40.39159, -74.39329"
08061,Mount Royal,NJ,39.807684,-75.20496,-5,1,"39.807684, -75.20496"
08404,Atlantic City,NJ,39.509208,-74.608557,-5,1,"39.509208, -74.608557"
07436,Oakland,NJ,41.028884,-74.23727,-5,1,"41.028884, -74.23727"
08922,New Brunswick,NJ,40.430006,-74.417344,-5,1,"40.430006, -74.417344"
07477,Wayne,NJ,41.011428,-74.304793,-5,1,"41.011428, -74.304793"
07054,Parsippany,NJ,40.860149,-74.4171,-5,1,"40.860149, -74.4171"
07110,Nutley,NJ,40.8196,-74.15877,-5,1,"40.8196, -74.15877"
07003,Bloomfield,NJ,40.803,-74.18895,-5,1,"40.803, -74.18895"
07043,Montclair,NJ,40.844199,-74.20218,-5,1,"40.844199, -74.20218"
08608,Trenton,NJ,40.219158,-74.76481,-5,1,"40.219158, -74.76481"
08528,Kingston,NJ,40.377173,-74.61538,-5,1,"40.377173, -74.61538"
07806,Picatinny Arsenal,NJ,40.867331,-74.578269,-5,1,"40.867331, -74.578269"
07435,Newfoundland,NJ,41.045897,-74.43677,-5,1,"41.045897, -74.43677"
07463,Waldwick,NJ,41.013109,-74.12231,-5,1,"41.013109, -74.12231"
07094,Secaucus,NJ,40.7885,-74.06,-5,1,"40.7885, -74.06"
08604,Trenton,NJ,40.280531,-74.712018,-5,1,"40.280531, -74.712018"
07102,Newark,NJ,40.735257,-74.17326,-5,1,"40.735257, -74.17326"
08330,Mays Landing,NJ,39.478771,-74.7581,-5,1,"39.478771, -74.7581"
07108,Newark,NJ,40.722751,-74.2014,-5,1,"40.722751, -74.2014"
07460,Stockholm,NJ,41.091254,-74.52081,-5,1,"41.091254, -74.52081"
08724,Brick,NJ,40.087794,-74.10981,-5,1,"40.087794, -74.10981"
07078,Short Hills,NJ,40.73915,-74.32749,-5,1,"40.73915, -74.32749"
07026,Garfield,NJ,40.879858,-74.10807,-5,1,"40.879858, -74.10807"
08536,Plainsboro,NJ,40.33371,-74.58512,-5,1,"40.33371, -74.58512"
07401,Allendale,NJ,41.031505,-74.13409,-5,1,"41.031505, -74.13409"
07733,Holmdel,NJ,40.384832,-74.17194,-5,1,"40.384832, -74.17194"
08060,Mount Holly,NJ,39.991562,-74.79747,-5,1,"39.991562, -74.79747"
08823,Franklin Park,NJ,40.439412,-74.55565,-5,1,"40.439412, -74.55565"
07068,Roseland,NJ,40.821799,-74.30477,-5,1,"40.821799, -74.30477"
07446,Ramsey,NJ,41.058819,-74.14238,-5,1,"41.058819, -74.14238"
07931,Far Hills,NJ,40.696601,-74.63781,-5,1,"40.696601, -74.63781"
08224,New Gretna,NJ,39.595957,-74.45628,-5,1,"39.595957, -74.45628"
07608,Teterboro,NJ,40.853723,-74.05987,-5,1,"40.853723, -74.05987"
07777,Holmdel,NJ,40.302718,-74.24928,-5,1,"40.302718, -74.24928"
07456,Ringwood,NJ,41.096095,-74.26012,-5,1,"41.096095, -74.26012"
07606,South Hackensack,NJ,40.863699,-74.04643,-5,1,"40.863699, -74.04643"
07999,Whippany,NJ,40.867331,-74.578269,-5,1,"40.867331, -74.578269"
08334,Downe,NJ,39.241686,-75.17465,-5,1,"39.241686, -75.17465"
07203,Roselle,NJ,40.653502,-74.26058,-5,1,"40.653502, -74.26058"
07720,Bradley Beach,NJ,40.202113,-74.01353,-5,1,"40.202113, -74.01353"
08009,Berlin,NJ,39.779582,-74.9365,-5,1,"39.779582, -74.9365"
07823,Belvidere,NJ,40.82383,-75.04585,-5,1,"40.82383, -75.04585"
07831,Changewater,NJ,40.739382,-74.944756,-5,1,"40.739382, -74.944756"
07662,Rochelle Park,NJ,40.906553,-74.07797,-5,1,"40.906553, -74.07797"
08210,Cape May Court House,NJ,39.081754,-74.83658,-5,1,"39.081754, -74.83658"
08215,Egg Harbor City,NJ,39.548049,-74.62171,-5,1,"39.548049, -74.62171"
07416,Franklin,NJ,41.11736,-74.58784,-5,1,"41.11736, -74.58784"
08803,Baptistown,NJ,40.563654,-74.949409,-5,1,"40.563654, -74.949409"
07514,Paterson,NJ,40.923648,-74.14321,-5,1,"40.923648, -74.14321"
07933,Gillette,NJ,40.683934,-74.47079,-5,1,"40.683934, -74.47079"
07648,Norwood,NJ,40.994442,-73.95586,-5,1,"40.994442, -73.95586"
08816,East Brunswick,NJ,40.434239,-74.40504,-5,1,"40.434239, -74.40504"
07747,Matawan,NJ,40.411102,-74.23767,-5,1,"40.411102, -74.23767"
08867,Pittstown,NJ,40.583035,-74.96224,-5,1,"40.583035, -74.96224"
07803,Mine Hill,NJ,40.878785,-74.60098,-5,1,"40.878785, -74.60098"
08527,Jackson,NJ,40.11597,-74.32251,-5,1,"40.11597, -74.32251"
08250,Tuckahoe,NJ,39.056521,-74.816619,-5,1,"39.056521, -74.816619"
07044,Verona,NJ,40.832449,-74.24227,-5,1,"40.832449, -74.24227"
08232,Pleasantville,NJ,39.394616,-74.52212,-5,1,"39.394616, -74.52212"
08859,Parlin,NJ,40.461851,-74.30343,-5,1,"40.461851, -74.30343"
07647,Northvale,NJ,41.009414,-73.94849,-5,1,"41.009414, -73.94849"
07081,Springfield,NJ,40.701801,-74.32216,-5,1,"40.701801, -74.32216"
08666,Trenton,NJ,40.280531,-74.712018,-5,1,"40.280531, -74.712018"
07021,Essex Fells,NJ,40.827499,-74.28091,-5,1,"40.827499, -74.28091"
07882,Washington,NJ,40.753753,-74.99617,-5,1,"40.753753, -74.99617"
08006,Barnegat Light,NJ,39.75196,-74.11074,-5,1,"39.75196, -74.11074"
07675,Westwood,NJ,40.99904,-74.03291,-5,1,"40.99904, -74.03291"
08837,Edison,NJ,40.529355,-74.33844,-5,1,"40.529355, -74.33844"
07303,Jersey City,NJ,40.73276,-74.075485,-5,1,"40.73276, -74.075485"
08640,Trenton,NJ,40.003861,-74.61775,-5,1,"40.003861, -74.61775"
08212,Cape May Point,NJ,38.936896,-74.96526,-5,1,"38.936896, -74.96526"
07091,Westfield,NJ,40.665651,-74.299692,-5,1,"40.665651, -74.299692"
07083,Union,NJ,40.695401,-74.26933,-5,1,"40.695401, -74.26933"
08094,Williamstown,NJ,39.647598,-74.95927,-5,1,"39.647598, -74.95927"
08326,Landisville,NJ,39.524179,-74.9385,-5,1,"39.524179, -74.9385"
08880,South Bound Brook,NJ,40.553803,-74.52976,-5,1,"40.553803, -74.52976"
08736,Manasquan,NJ,40.120261,-74.05765,-5,1,"40.120261, -74.05765"
07079,South Orange,NJ,40.74765,-74.25881,-5,1,"40.74765, -74.25881"
07001,Avenel,NJ,40.578996,-74.27987,-5,1,"40.578996, -74.27987"
07848,Lafayette,NJ,41.094159,-74.69036,-5,1,"41.094159, -74.69036"
07508,Haledon,NJ,40.945198,-74.18286,-5,1,"40.945198, -74.18286"
08081,Sicklerville,NJ,39.741385,-74.99035,-5,1,"39.741385, -74.99035"
08085,Swedesboro,NJ,39.753088,-75.32687,-5,1,"39.753088, -75.32687"
08752,Seaside Park,NJ,39.920268,-74.07967,-5,1,"39.920268, -74.07967"
07645,Montvale,NJ,41.048997,-74.04052,-5,1,"41.048997, -74.04052"
08028,Glassboro,NJ,39.700008,-75.11951,-5,1,"39.700008, -75.11951"
08401,Atlantic City,NJ,39.364966,-74.43903,-5,1,"39.364966, -74.43903"
08638,Trenton,NJ,40.249908,-74.75953,-5,1,"40.249908, -74.75953"
08097,Woodbury Heights,NJ,39.816063,-75.15321,-5,1,"39.816063, -75.15321"
08046,Willingboro,NJ,40.029011,-74.88257,-5,1,"40.029011, -74.88257"
07481,Wyckoff,NJ,40.998583,-74.1671,-5,1,"40.998583, -74.1671"
08551,Ringoes,NJ,40.449171,-74.84979,-5,1,"40.449171, -74.84979"
07604,Hasbrouck Heights,NJ,40.86289,-74.07506,-5,1,"40.86289, -74.07506"
08405,Atlantic City,NJ,39.509208,-74.608557,-5,1,"39.509208, -74.608557"
08886,Stewartsville,NJ,40.694938,-75.11181,-5,1,"40.694938, -75.11181"
07017,East Orange,NJ,40.770933,-74.20589,-5,1,"40.770933, -74.20589"
07821,Andover,NJ,40.966308,-74.74298,-5,1,"40.966308, -74.74298"
08077,Riverton,NJ,39.997379,-74.99805,-5,1,"39.997379, -74.99805"
07495,Mahwah,NJ,40.948054,-74.083231,-5,1,"40.948054, -74.083231"
07195,Newark,NJ,40.79185,-74.245241,-5,1,"40.79185, -74.245241"
08804,Bloomsbury,NJ,40.652484,-75.08959,-5,1,"40.652484, -75.08959"
07530,Paterson,NJ,41.011428,-74.304793,-5,1,"41.011428, -74.304793"
08057,Moorestown,NJ,39.968962,-74.9489,-5,1,"39.968962, -74.9489"
08820,Edison,NJ,40.575503,-74.35781,-5,1,"40.575503, -74.35781"
08618,Trenton,NJ,40.238258,-74.7805,-5,1,"40.238258, -74.7805"
07877,Swartswood,NJ,41.10289,-74.850759,-5,1,"41.10289, -74.850759"
07511,Totowa,NJ,41.011428,-74.304793,-5,1,"41.011428, -74.304793"
08329,Mauricetown,NJ,39.285464,-74.99687,-5,1,"39.285464, -74.99687"
07935,Green Village,NJ,40.739333,-74.45631,-5,1,"40.739333, -74.45631"
08559,Stockton,NJ,40.435878,-74.96511,-5,1,"40.435878, -74.96511"
07504,Paterson,NJ,40.912148,-74.14271,-5,1,"40.912148, -74.14271"
08101,Camden,NJ,39.80237,-74.938259,-5,1,"39.80237, -74.938259"
08105,Camden,NJ,39.949812,-75.08616,-5,1,"39.949812, -75.08616"
08227,Bass River,NJ,39.588665,-74.466214,-5,1,"39.588665, -74.466214"
07748,Middletown,NJ,40.410213,-74.11718,-5,1,"40.410213, -74.11718"
07009,Cedar Grove,NJ,40.855854,-74.22898,-5,1,"40.855854, -74.22898"
07631,Englewood,NJ,40.893343,-73.9758,-5,1,"40.893343, -73.9758"
08109,Merchantville,NJ,39.949979,-75.05024,-5,1,"39.949979, -75.05024"
07757,Oceanport,NJ,40.318115,-74.01239,-5,1,"40.318115, -74.01239"
08045,Lawnside,NJ,39.866513,-75.03197,-5,1,"39.866513, -75.03197"
08090,Wenonah,NJ,39.799347,-75.15202,-5,1,"39.799347, -75.15202"
08003,Cherry Hill,NJ,39.879713,-74.9719,-5,1,"39.879713, -74.9719"
07465,Wanaque,NJ,41.052958,-74.28236,-5,1,"41.052958, -74.28236"
07047,North Bergen,NJ,40.7946,-74.01963,-5,1,"40.7946, -74.01963"
07952,Bernardsville,NJ,40.733863,-74.585653,-5,1,"40.733863, -74.585653"
08317,Dorothy,NJ,39.406518,-74.82706,-5,1,"39.406518, -74.82706"
07202,Elizabeth,NJ,40.652302,-74.21692,-5,1,"40.652302, -74.21692"
07642,Hillsdale,NJ,41.007389,-74.04247,-5,1,"41.007389, -74.04247"
08102,Camden,NJ,39.949579,-75.118,-5,1,"39.949579, -75.118"
07607,Maywood,NJ,40.90503,-74.06279,-5,1,"40.90503, -74.06279"
08540,Princeton,NJ,40.357439,-74.64922,-5,1,"40.357439, -74.64922"
08628,Trenton,NJ,40.264708,-74.82295,-5,1,"40.264708, -74.82295"
08558,Skillman,NJ,40.410155,-74.70726,-5,1,"40.410155, -74.70726"
07440,Pequannock,NJ,40.946748,-74.29575,-5,1,"40.946748, -74.29575"
07688,Teaneck,NJ,40.948054,-74.083231,-5,1,"40.948054, -74.083231"
07842,Hibernia,NJ,40.940301,-74.49617,-5,1,"40.940301, -74.49617"
07206,Elizabeth,NJ,40.653189,-74.19158,-5,1,"40.653189, -74.19158"
07480,West Milford,NJ,41.102569,-74.37047,-5,1,"41.102569, -74.37047"
07090,Westfield,NJ,40.649202,-74.34567,-5,1,"40.649202, -74.34567"
07458,Saddle River,NJ,41.054568,-74.09616,-5,1,"41.054568, -74.09616"
07832,Columbia,NJ,40.92976,-75.06193,-5,1,"40.92976, -75.06193"
07405,Butler,NJ,40.99313,-74.35893,-5,1,"40.99313, -74.35893"
07421,Hewitt,NJ,41.173445,-74.37404,-5,1,"41.173445, -74.37404"
07950,Morris Plains,NJ,40.842399,-74.48223,-5,1,"40.842399, -74.48223"
08323,Greenwich,NJ,39.402763,-75.3574,-5,1,"39.402763, -75.3574"
07069,Watchung,NJ,40.641207,-74.443695,-5,1,"40.641207, -74.443695"
07755,Oakhurst,NJ,40.263575,-74.02176,-5,1,"40.263575, -74.02176"
07920,Basking Ridge,NJ,40.6789,-74.57039,-5,1,"40.6789, -74.57039"
08321,Fortescue,NJ,39.239649,-75.17225,-5,1,"39.239649, -75.17225"
08834,Little York,NJ,40.563654,-74.949409,-5,1,"40.563654, -74.949409"
08064,New Lisbon,NJ,39.961921,-74.63687,-5,1,"39.961921, -74.63687"
08026,Gibbsboro,NJ,39.833847,-74.96899,-5,1,"39.833847, -74.96899"
07869,Randolph,NJ,40.847649,-74.5748,-5,1,"40.847649, -74.5748"
07871,Sparta,NJ,41.035384,-74.63557,-5,1,"41.035384, -74.63557"
08854,Piscataway,NJ,40.555355,-74.46094,-5,1,"40.555355, -74.46094"
08247,Stone Harbor,NJ,39.051289,-74.76204,-5,1,"39.051289, -74.76204"
07004,Fairfield,NJ,40.879049,-74.29378,-5,1,"40.879049, -74.29378"
08543,Princeton,NJ,40.280531,-74.712018,-5,1,"40.280531, -74.712018"
07439,Ogdensburg,NJ,41.080066,-74.5972,-5,1,"41.080066, -74.5972"
08034,Cherry Hill,NJ,39.908613,-74.99951,-5,1,"39.908613, -74.99951"
08875,Somerset,NJ,40.580918,-74.711731,-5,1,"40.580918, -74.711731"
08067,Pedricktown,NJ,39.740353,-75.41262,-5,1,"39.740353, -75.41262"
07193,Newark,NJ,40.79185,-74.245241,-5,1,"40.79185, -74.245241"
07838,Great Meadows,NJ,40.886474,-74.90089,-5,1,"40.886474, -74.90089"
07870,Schooleys Mountain,NJ,40.810362,-74.819318,-5,1,"40.810362, -74.819318"
08988,New Brunswick,NJ,40.430006,-74.417344,-5,1,"40.430006, -74.417344"
07677,Woodcliff Lake,NJ,41.025101,-74.059762,-5,1,"41.025101, -74.059762"
07399,Jersey City,NJ,40.73235,-74.075391,-5,1,"40.73235, -74.075391"
08818,Edison,NJ,40.430006,-74.417344,-5,1,"40.430006, -74.417344"
08025,Ewan,NJ,39.701526,-75.162903,-5,1,"39.701526, -75.162903"
07096,Secaucus,NJ,40.73276,-74.075485,-5,1,"40.73276, -74.075485"
